temperature,humidity,wind_speed,rain
24.95930182,93.8141868,46.81171414,0
20.4358957,54.54486064,20.10818939,0
30.46149951,31.38080059,46.17481738,0
25.23355057,75.29310565,43.63031051,0
35.54175783,40.08943921,17.84724302,0
29.58916876,30.39250679,2.794156425,0
39.46018573,53.74633114,19.54526116,0
36.28498007,33.51099705,26.44098304,0
21.82779524,84.51488587,4.96506588,0
20.98653777,97.53535127,43.67534454,0
28.75327911,76.89668273,7.432549936,0
38.19918106,64.72548777,31.83442682,0
31.92109179,81.96548582,3.156152203,0
34.22131997,59.04187256,15.59294193,0
33.22056358,58.76504913,14.27121406,0
25.91101958,84.73232118,35.24709729,0
16.31117119,38.12997725,26.61406738,0
34.38746027,93.80921519,35.0744797,0
17.37063362,56.99109313,42.6075527,0
19.81096806,94.29683878,28.74089396,0
34.37364206,93.07241024,24.5317306,1
24.12369869,67.60029838,33.80571266,0
34.0644571,53.18799688,2.437812879,0
22.94014075,47.98613125,13.21464035,0
35.56119259,75.73358365,21.83058266,0
35.19170344,87.47058805,48.88578493,0
30.22441901,94.37178773,24.75687348,1
29.45216303,67.58192638,38.35930736,0
18.78134245,48.76129316,23.25706702,0
39.42254125,89.20915568,32.74303628,0
19.92928844,78.37240306,25.47512826,0
31.35181873,64.51965209,26.19961844,0
30.06886311,92.59118672,26.14141661,0
26.08586628,81.35635639,18.0813912,1
18.09305457,72.12997542,2.642048262,0
23.35597785,94.02457451,33.6263288,0
19.39405475,92.96467847,37.47001628,0
28.5374687,80.78389476,28.74213922,0
38.57593083,76.68962045,18.0798712,0
33.64413964,44.04062275,27.52521406,0
36.38638004,64.77633064,37.14921029,0
17.6110938,81.10536049,23.23889909,0
16.70021854,65.53773824,3.485981961,0
19.61222163,45.47538624,47.155342,0
33.02578382,36.46798416,3.232952122,0
29.24896253,47.60646262,47.89257024,0
28.72124102,79.32262534,26.20628679,0
20.71913754,63.77758462,7.175789181,0
30.15986531,30.69436477,13.28995183,0
32.2367844,85.61149769,24.04068864,1
19.55252304,72.81049829,40.5237217,0
20.7289781,84.5092272,4.748960632,0
20.38403949,36.41023923,49.15408115,0
25.15232503,51.20347603,25.16303836,0
34.55222192,42.9595793,14.46629698,0
28.73706413,77.58666168,27.02695909,0
27.8803597,92.83651767,27.15127342,0
21.20287209,85.49979233,16.15567826,0
35.4478689,63.18228221,12.60786693,0
16.3640476,32.79261311,40.73198885,0
20.79215508,84.63578682,2.348057123,0
22.51127031,86.90941076,37.41495681,0
23.61773953,55.27226439,2.769983157,0
23.77597513,37.04102837,13.56379773,0
33.08870579,55.29189996,13.46812403,0
26.17973639,45.47382774,26.88259478,0
22.92962306,97.89972569,44.9400654,0
25.58454218,66.89756905,10.03419371,0
33.24670924,74.98894295,36.20338022,0
34.8500975,43.03947984,1.181695096,0
22.36467253,32.45055363,6.788416905,0
38.680938,44.10451513,23.68556637,0
37.82449397,61.97480462,39.88051287,0
21.59073398,96.92647324,43.94039842,0
15.51501266,83.8473763,30.55036676,0
32.70095276,97.69271941,28.01759513,0
19.95347041,46.73308896,10.14229096,0
18.51598254,55.21643664,26.33494081,0
27.03739138,45.11153622,34.52182213,0
38.71654103,99.31411206,33.82066064,0
38.77355489,32.59142486,8.297157978,0
18.97532616,62.09086348,8.709718266,0
20.60802376,82.0666509,48.57365389,0
18.17350884,32.09359415,26.49157779,0
16.52599128,35.84332087,12.93566962,0
31.07126504,86.73498506,24.760995,1
15.06836392,90.26204323,39.65882497,0
35.91459167,47.15987128,49.50556003,0
27.23190258,83.72543557,38.11923124,0
22.82650339,54.6698385,22.69621133,0
15.01623008,32.40796744,20.47934059,0
20.11438812,78.14211243,18.69965552,0
15.72961606,38.74033353,22.91320777,0
34.50091915,79.00754848,42.9344753,0
35.87304214,63.61814288,32.86149762,0
20.52653999,73.53825474,8.854797475,0
29.22656737,43.57565444,5.289649124,0
37.99681686,83.53181317,25.84796353,0
18.69856935,38.8685912,5.220095968,0
25.18453723,79.35317286,5.110795701,0
37.29280982,99.52386927,1.904694618,0
28.39379124,94.29783644,11.77402707,1
31.67491153,83.7296513,10.73177672,1
24.77563694,95.60071829,1.588777125,0
33.36915118,47.15741953,40.43037239,0
39.20794715,54.15216886,37.01800647,0
37.29385833,65.74643611,40.44019944,0
38.92120073,55.91359975,11.28820612,0
17.07902684,85.12140544,47.49412185,0
24.70091774,97.12316922,44.2724259,0
33.25751324,89.00728407,22.06153427,1
26.92738457,61.86457149,24.0252978,0
19.17378028,57.09282871,22.71039149,0
29.84590569,30.11814813,7.467259968,0
39.74625231,81.95360011,41.30981746,0
16.66580523,75.1413902,35.39949982,0
19.18705639,91.66634233,29.56120687,0
31.86967446,49.03241693,40.2836212,0
22.15208252,81.54381723,32.68678894,0
20.24393514,44.82015336,16.90927316,0
26.19592718,30.77095395,49.20911045,0
16.49465922,79.06395706,9.851900909,0
22.56713084,44.71392955,13.06404909,0
30.9757337,78.38104094,22.87857252,1
25.94574446,94.18113664,17.58348589,1
23.56778092,83.90172881,47.79668844,0
29.4715637,32.81776589,25.52874752,0
29.79575656,46.18383592,9.908673024,0
37.89474873,79.94431518,22.60829859,0
22.89613837,44.74331961,47.49405706,0
32.90071039,77.1850178,6.841822654,0
32.90828481,71.18494026,9.659593307,0
15.78965319,38.89124763,18.83370591,0
27.37078845,71.03602126,44.26527389,0
39.16071074,74.62926876,21.8562002,0
27.75793419,53.48390907,48.17107059,0
26.57391057,35.88665617,24.52828651,0
18.62299396,34.691761,32.3661213,0
29.34171371,34.06333496,30.78871895,0
31.29721019,55.13531183,14.04961713,0
22.92608195,33.08505593,49.53234255,0
31.02501461,39.12159968,39.45299893,0
26.39416444,83.80586403,23.53198325,1
19.96509016,42.04928969,45.51709931,0
29.1745306,91.98891678,14.27148905,1
39.74932773,95.46477282,43.73736951,0
28.92956588,35.24834996,43.17814541,0
27.91825956,76.97681489,34.66558063,0
29.78223852,34.18708011,41.44434815,0
32.62508587,99.03638247,9.054541009,0
24.35764292,92.82355302,46.02655069,0
33.42208796,82.4941563,48.38452553,0
28.68012856,35.82767417,14.39263184,0
28.94793586,70.24875006,13.88964999,1
33.72878836,71.57213511,26.12478792,0
29.45118888,57.41375415,31.2058403,0
27.58583143,79.34546963,37.10121188,0
30.17800649,44.19492581,21.60186655,0
28.21492705,34.04971767,25.08303998,0
21.35293248,73.55939806,41.9131862,0
16.84937778,81.0525762,31.71664816,0
36.93589216,64.83564211,21.17905014,0
28.58480806,86.56111703,20.26157318,1
25.72109931,70.40924857,19.06243213,1
23.96337763,55.79030166,0.101968031,0
26.87034199,30.36324936,33.99614277,0
27.39321574,90.16824096,25.35025087,0
34.1597977,96.38631256,45.06205151,0
15.48408267,81.96100558,23.9501538,0
34.16165856,92.5809759,22.20331653,1
32.62193886,35.99849014,15.80492977,0
21.09560115,80.37351696,31.18468414,0
35.83818255,67.15725639,41.47490026,0
28.92483298,51.65248244,3.38535484,0
29.94516063,94.77711635,31.97487226,0
25.8548463,58.82883528,9.627373858,0
38.62957219,53.9510713,25.4269484,0
19.48109649,92.0753345,2.296461231,0
36.04837011,69.57809606,6.057821895,0
29.28104296,52.25076201,35.19926244,0
33.80131134,73.88382551,36.91779405,0
27.1936946,58.93476843,19.97680938,0
38.36126697,88.10056285,13.05947241,0
